2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)],2025년_ [기숙사 운영 결과(국·공립_민자) (대학)]
ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24
(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원)
"기준
연도",학교명,수익,수익,수익,수익,수익,수익,비용,비용,비용,비용,비용,비용,비용,비용,비고
"기준
연도",학교명,지원금수입,지원금수입,"기숙사비
수익","부속시설
초과수익","기타
수익",소계(A),"시설
임차료",인건비,운영비,운영비,운영비,학생경비,"기타
비용",소계(B),비고
"기준
연도",학교명,국고,학교,"기숙사비
수익","부속시설
초과수익","기타
수익",소계(A),"시설
임차료",인건비,"운영
관리비","수선
유지비","협약 외
운영비",학생경비,"기타
비용",소계(B),비고
합 계,합 계,0,0,"9,451,400,610",0,0,"9,451,400,610","445,812,070","549,719,150","6,901,740,065","625,241,380",0,"90,009,750",0,"8,612,522,415",
2024,충남대학교,0,0,"9,451,400,610",0,0,"9,451,400,610","445,812,070","549,719,150","6,901,740,065","625,241,380",0,"90,009,750",0,"8,612,522,415","운영차액: 자산취득비 82,204,500원 포함"
