2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)],2025년_ [기숙사 운영 결과(국·공립_직영) (대학)]
ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24,ㆍ작성자 : 심주현/학생생활관   ㆍ확인자 : 심주현/학생생활관   ㆍ최종확인일자 : 2025-09-24
(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원),(단위 : 원)
기준연도,학교,수익,수익,수익,수익,비용,비용,비용,비용,비용,비용,비용,비용,비용,비고
기준연도,학교,기숙사비 수익,임대료 수익,기타수익,소계(A),인건비,위탁관리비,공공요금 및 제세,수선비,감가상각비,일반수용비,학생경비,기타비용,소계(B),비고
합 계,합 계,"1,661,194,135",0,0,"1,661,194,135","897,038,580","39,816,400","513,807,760","124,298,030",0,"37,091,610",0,0,"1,612,052,380",
2024,충남대학교,"1,661,194,135",0,0,"1,661,194,135","897,038,580","39,816,400","513,807,760","124,298,030",0,"37,091,610",0,0,"1,612,052,380","운영차액: 자산취득비 31,197,440원 포함"
