구분,,"1인1실
(장애인실)","1인 1실
(APT형)","2인1실
(원룸형)",,"1인1실
(원룸형)",,"2인1실
(APT형)",,"2인1실
(원룸형)",,"2인1실
(리조트형)",,"2인1실
(APT형)","1인1실
(장애인실)","2인1실
(원룸형)"
,,1동,,"2, 3동",,3동,,5동,,,,,,6동,"7,8동","7,8,9,11동"
"관리비
+식비","식비포함
(Type1)","2,061,410","1,839,050","1,389,970",,"2,079,940",,"1,364,900",,"1,389,970",,"1,488,070",,"1,342,010","2,159,510","1,389,970"
,"식비포함
(Type2)","2,097,050","1,874,690","1,425,610",,"2,115,580",,"1,400,540",,"1,425,610",,"1,523,710",,"1,377,650","2,195,150","1,425,610"
,"식비포함
(Type3)","2,143,970","1,921,610","1,472,530",,"2,162,500",,"1,447,460",,"1,472,530",,"1,570,630",,"1,424,570","2,242,070","1,472,530"
,"식비포함
(Type4)","2,198,690","1,976,330","1,527,250",,"2,217,220",,"1,502,180",,"1,527,250",,"1,625,350",,"1,479,290","2,296,790","1,527,250"
구분,,"기혼자실
1인1실
(원룸형)","2인1실
(원룸형)",,"기혼자실
1인1실
(원룸형)",,"기혼자실
(투룸형)",,"2인1실
(원룸형)",,"1인1실
(원룸형)",,"장애인실
(원룸형)",,"Type1~4 유형:
관리비+식비 합계",
,,10동,12동,,,,,,13동,,,,,,,
"관리비
(자율식)",,"1,643,720","934,130",,"1,691,680",,"2,756,610",,"893,800",,"1,549,980",,"1,670,970",,,
